INCL,CONS,INC,INC1,CONS1,WORK
1,136729 ,154 ,15 ,14 ,0.49
2,183383 ,226 ,23 ,18 ,0.68
3,188091 ,275 ,28 ,19 ,0.59
4,220990 ,322 ,32 ,22 ,0.68
5,233309 ,372 ,37 ,23 ,0.85
6,242098 ,422 ,42 ,24 ,1.12
7,244986 ,473 ,47 ,24 ,1.31
8,254604 ,521 ,52 ,25 ,1.45
9,268148 ,573 ,57 ,27 ,1.50
10,299979 ,622 ,62 ,30 ,1.72
11,305208 ,672 ,67 ,31 ,1.70
12,297221 ,720 ,72 ,30 ,1.75
13,294361 ,771 ,77 ,29 ,1.82
14,319956 ,843 ,84 ,32 ,1.83
15,356775 ,942 ,94 ,36 ,1.89
16,395410 ,1101 ,110 ,40 ,2.00
17,447310 ,1354 ,135 ,45 ,1.95
18,551735 ,2034 ,203 ,55 ,2.14
