TrialIndex,Participant,Type,Length,SelectC,RT,PresenPos
1,1,I,120,1,1000,cs
2,1,I,90,1,1608,cs
3,1,O,110,0,1460,sc
4,1,O,60,0,750,sc
5,1,I,110,1,720,sc
6,1,I,120,1,732,sc
7,1,O,70,0,753,cs
8,1,I,110,1,991,sc
9,1,O,110,0,1087,sc
10,1,O,130,1,1238,sc
11,1,O,100,0,1060,sc
12,1,O,110,0,919,sc
13,1,I,90,1,1270,cs
14,1,O,140,1,1085,sc
15,1,O,150,1,847,cs
16,1,I,100,1,1315,cs
17,1,O,120,0,1177,cs
18,1,O,60,0,816,sc
19,1,I,70,0,1285,sc
20,1,I,50,0,1027,sc
21,1,O,130,1,1123,cs
22,1,I,110,1,1249,sc
23,1,I,90,1,1265,sc
24,1,I,50,0,676,cs
25,1,I,70,0,912,sc
26,1,O,80,0,730,cs
27,1,I,130,1,741,cs
28,1,O,150,1,753,sc
29,1,O,50,0,670,sc
30,1,O,140,1,935,cs
31,1,I,140,1,859,cs
32,1,O,100,0,682,cs
33,1,O,60,0,568,cs
34,1,I,80,0,806,sc
35,1,I,120,1,637,cs
36,1,O,120,1,1182,sc
37,1,I,110,1,867,cs
38,1,O,140,1,1304,cs
39,1,O,90,0,791,cs
40,1,I,120,1,881,cs
41,1,I,70,0,867,sc
42,1,O,70,0,939,sc
43,1,I,70,0,694,cs
44,1,O,80,0,727,sc
45,1,O,110,0,660,cs
46,1,O,50,0,581,cs
47,1,O,120,0,641,sc
48,1,O,100,0,695,sc
49,1,I,80,0,970,sc
50,1,O,140,1,1147,cs
51,1,O,110,0,974,cs
52,1,I,80,0,1043,cs
53,1,I,110,1,902,cs
54,1,O,90,0,1166,sc
55,1,I,140,1,728,sc
56,1,O,100,0,703,cs
57,1,O,140,1,904,sc
58,1,O,80,0,970,sc
59,1,O,90,0,1169,sc
60,1,I,90,1,833,sc
61,1,O,70,0,1056,cs
62,1,O,130,1,1299,sc
63,1,O,140,1,1004,sc
64,1,I,50,0,993,cs
65,1,I,120,1,1221,sc
66,1,I,100,1,842,cs
67,1,I,60,0,806,sc
68,1,I,140,1,809,cs
69,1,O,130,0,1899,cs
70,1,I,140,1,655,sc
71,1,O,70,0,584,sc
72,1,I,60,0,795,sc
73,1,O,60,0,708,cs
74,1,O,60,0,577,cs
75,1,I,130,1,745,sc
76,1,O,100,0,789,sc
77,1,O,50,0,1809,sc
78,1,I,80,0,1115,cs
79,1,O,50,0,612,sc
80,1,I,120,1,683,sc
81,1,O,100,0,800,cs
82,1,I,150,1,621,cs
83,1,I,150,1,529,sc
84,1,I,150,1,578,sc
85,1,I,70,0,802,sc
86,1,O,120,0,1377,sc
87,1,I,100,1,1589,sc
88,1,I,130,1,659,sc
89,1,I,50,0,970,sc
90,1,I,130,1,955,cs
91,1,O,90,0,1328,sc
92,1,I,140,1,1634,cs
93,1,O,80,0,657,cs
94,1,O,110,0,1083,sc
95,1,I,80,0,992,sc
96,1,O,60,0,614,cs
97,1,I,150,1,775,cs
98,1,I,60,0,820,sc
99,1,I,100,1,1417,sc
100,1,O,90,0,644,sc
101,1,O,50,0,774,sc
102,1,I,60,0,701,cs
103,1,O,70,0,658,cs
104,1,I,150,1,756,sc
105,1,I,70,0,771,cs
106,1,I,90,0,1187,sc
107,1,O,120,0,653,sc
108,1,I,50,0,635,cs
109,1,O,70,0,617,cs
110,1,I,60,0,648,sc
111,1,I,60,0,576,cs
112,1,I,150,1,620,cs
113,1,I,60,0,593,cs
114,1,I,140,1,629,cs
115,1,O,130,0,1281,cs
116,1,I,90,0,835,cs
117,1,O,130,0,679,sc
118,1,O,150,1,1000,sc
119,1,I,90,1,1744,cs
120,1,O,110,0,1178,cs
121,1,I,130,1,682,cs
122,1,I,110,1,695,sc
123,1,O,130,0,1808,cs
124,1,O,150,1,756,cs
125,1,I,130,1,618,sc
126,1,I,50,0,791,sc
127,1,O,150,1,839,cs
128,1,I,70,0,1079,cs
129,1,I,100,1,1895,sc
130,1,O,140,1,956,cs
131,1,O,80,0,834,cs
132,1,I,80,0,1512,cs
133,1,O,80,0,1118,sc
134,1,O,90,0,959,cs
135,1,O,60,0,1072,sc
136,1,O,90,0,597,cs
137,1,O,130,1,1072,sc
138,1,O,100,0,1008,cs
139,1,O,150,1,818,sc
140,1,O,50,0,907,cs
141,1,O,150,1,1051,sc
142,1,I,50,0,788,sc
143,1,O,50,0,869,cs
144,1,O,120,1,2168,cs
145,1,I,80,0,1003,sc
146,1,I,130,1,763,sc
147,1,O,100,0,802,sc
148,1,I,50,0,868,cs
149,1,O,150,1,756,cs
150,1,I,100,1,1642,cs
151,1,O,90,0,877,cs
152,1,O,60,0,671,sc
153,1,O,120,0,594,cs
154,1,I,150,1,606,cs
155,1,O,70,0,668,sc
156,1,I,150,1,641,sc
157,1,I,100,1,1621,sc
158,1,O,70,0,805,sc
159,1,I,120,1,699,sc
160,1,O,110,0,692,cs
161,1,I,110,1,740,cs
162,1,O,120,0,917,cs
163,1,I,90,0,1333,sc
164,1,O,50,0,668,cs
165,1,I,100,1,3000,cs
166,1,I,70,0,918,cs
167,1,I,140,1,1078,sc
168,1,I,140,1,764,sc
169,1,O,80,0,1155,cs
170,1,I,120,1,674,cs
171,1,O,140,1,968,sc
172,1,I,110,1,1096,cs
173,1,I,60,0,769,cs
174,1,O,80,0,636,sc
175,1,I,130,1,644,cs
176,1,I,80,0,1229,cs
177,2,O,80,0,1121,cs
178,2,I,140,1,801,cs
179,2,O,80,0,1003,sc
180,2,O,50,0,783,sc
181,2,O,150,1,1021,sc
182,2,O,140,1,919,sc
183,2,I,110,1,1320,cs
184,2,I,120,1,1166,cs
185,2,O,100,0,664,cs
186,2,I,110,1,1278,cs
187,2,I,90,0,2266,cs
188,2,O,50,0,827,sc
189,2,I,60,0,783,cs
190,2,O,130,1,977,sc
191,2,I,130,1,741,cs
192,2,I,100,1,1358,sc
193,2,O,80,0,742,cs
194,2,O,70,0,694,sc
195,2,O,80,0,655,sc
196,2,O,110,0,2674,sc
197,2,O,150,1,707,sc
198,2,O,90,0,848,cs
199,2,O,110,0,1431,cs
200,2,I,70,0,973,cs
201,2,I,80,0,1271,cs
202,2,I,100,1,566,cs
203,2,I,70,0,791,cs
204,2,I,60,0,749,cs
205,2,O,70,0,759,cs
206,2,I,120,1,841,sc
207,2,I,90,0,685,sc
208,2,O,130,1,1222,sc
209,2,O,90,0,1016,cs
210,2,O,60,0,1486,cs
211,2,I,100,1,1351,cs
212,2,O,80,0,582,cs
213,2,I,70,0,1399,cs
214,2,I,50,0,723,cs
215,2,I,140,1,1355,cs
216,2,O,110,0,639,cs
217,2,O,50,0,534,sc
218,2,I,120,1,688,sc
219,2,I,90,1,1160,cs
220,2,I,50,0,501,sc
221,2,O,150,1,904,cs
222,2,O,90,0,621,cs
223,2,O,50,0,631,cs
224,2,I,150,1,846,cs
225,2,O,150,1,1337,cs
226,2,O,110,1,2668,sc
227,2,I,60,0,990,cs
228,2,O,110,0,2624,sc
229,2,O,50,0,789,cs
230,2,I,80,0,1731,sc
231,2,I,50,0,719,cs
232,2,O,130,1,963,cs
233,2,O,50,0,663,cs
234,2,O,90,0,599,sc
235,2,I,90,1,1848,sc
236,2,I,100,1,1030,sc
237,2,I,150,1,961,cs
238,2,I,90,1,2713,sc
239,2,I,120,1,631,cs
240,2,O,120,1,971,sc
241,2,O,150,1,557,cs
242,2,I,130,1,975,cs
243,2,O,70,0,927,sc
244,2,O,110,0,1656,cs
245,2,O,120,1,1646,sc
246,2,O,100,0,1153,sc
247,2,I,140,1,629,sc
248,2,O,120,1,1695,cs
249,2,I,150,1,734,cs
250,2,O,140,1,1263,cs
251,2,O,60,0,878,sc
252,2,I,140,1,608,sc
253,2,O,80,0,630,cs
254,2,I,50,0,724,cs
255,2,O,50,0,706,sc
256,2,I,110,1,794,sc
257,2,O,100,0,660,sc
258,2,O,60,0,678,sc
259,2,I,100,1,1478,cs
260,2,I,150,1,658,cs
261,2,I,90,1,1140,sc
262,2,O,150,1,734,sc
263,2,I,110,1,1615,cs
264,2,I,110,1,511,sc
265,2,O,90,0,593,sc
266,2,I,80,0,849,sc
267,2,I,50,0,508,cs
268,2,O,60,0,502,sc
269,2,I,60,0,718,sc
270,2,O,60,0,543,cs
271,2,I,70,0,503,sc
